Phylotype	taxonomy
uncultured.bacterium.M162	Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_unculturedAlistipes
uncultured.bacterium.M516	Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_unculturedAlistipes
uncultured.bacterium.MG06	Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_unculturedAlistipes
uncultured.bacterium.NH37	Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_unculturedAlistipes
uncultured.bacterium.NN46	Bacteroidetes_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_unculturedAlistipes
bacterium.adhufec23	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
bacterium.adhufec355	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
Bacteroides.finegoldii	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.finegoldii
Bacteroides.fragilis	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.fragilis
Bacteroides.nordii	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.nordii
Bacteroides.salyersiae	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.salyersiae
Bacteroides.thetaiotaomicron	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.thetaiotaomicron
uncultured.bacterium.LCLC32	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.finegoldii
uncultured.bacterium.LCRC79	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.finegoldii
uncultured.bacterium.MR34	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.finegoldii
uncultured.bacterium.Z091	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.finegoldii
Bacteroides.intestinalis	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.intestinalis
Bacteroides.caccae	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.caccae
Bacteroides.ovatus	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.ovatus
Bacteroides.sp..CS3	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.sp..CS3
Uncultured.bacterium.clone.Eldhufec030	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
uncultured.bacterium.HuCA34	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
uncultured.bacterium.HuCC30	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
uncultured.bacterium.LCLC24	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
uncultured.bacterium.NC94	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
uncultured.bacterium.NP35	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
bacterium.adhufec367	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
Bacteroides.coprocola	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.coprocola
Bacteroides.plebeius	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.plebeius
Bacteroides.sp..CO11	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.sp..CO11
Uncultured.bacterium.clone.Eldhufec335	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
uncultured.bacterium.D790	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
bacterium.adhufec291	Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Odoribacter_Odoribacter.splanchnicus
bacterium.adhufec84	Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Odoribacter_Odoribacter.splanchnicus
Bacteroides.splanchnicus	Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Odoribacter_Odoribacter.splanchnicus
uncultured.bacterium.C268	Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Odoribacter_Odoribacter.splanchnicus
Uncultured.bacterium.clone.Eldhufec048	Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Odoribacter_Odoribacter.splanchnicus
uncultured.bacterium.MN96	Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Odoribacter_Odoribacter.splanchnicus
uncultured.bacterium.MO48	Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Odoribacter_Odoribacter.splanchnicus
uncultured.bacterium.MS86	Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Odoribacter_Odoribacter.splanchnicus
uncultured.bacterium.NG42	Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Odoribacter_Odoribacter.splanchnicus
uncultured.bacterium.NK71	Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Odoribacter_Odoribacter.splanchnicus
uncultured.bacterium.NK90	Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Odoribacter_Odoribacter.splanchnicus
uncultured.bacterium.NN42	Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Odoribacter_Odoribacter.splanchnicus
uncultured.bacterium.NN84	Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Odoribacter_Odoribacter.splanchnicus
uncultured.bacterium.NP53	Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Odoribacter_Odoribacter.splanchnicus
uncultured.bacterium.NX93	Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Odoribacter_Odoribacter.splanchnicus
bacterium.adhufec303	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
Bacteroides.eggerthii	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.eggerthii
Bacteroides.stercoris	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.stercoris
Uncultured.bacterium.clone.Eldhufec025	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
Uncultured.bacterium.clone.Eldhufec057	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
uncultured.bacterium.NO48	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
Bacteroides.uniformis	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.uniformis
uncultured.Bacteroides.sp..NS2A11	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_environmental.samples
bacterium.adhufec27	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
Bacteroides.vulgatus	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides.vulgatus
uncultured.bacterium.ABLC36	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
uncultured.bacterium.ABLC8	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
uncultured.bacterium.ABLCf3	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
uncultured.bacterium.HuCA9	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
uncultured.bacterium.HuCB3	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
uncultured.bacterium.HuCB6	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
uncultured.bacterium.LCLC45	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
uncultured.bacterium.LCLC5	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
uncultured.bacterium.LCLC6	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
uncultured.bacterium.LCRC22	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
uncultured.bacterium.OLDA-A2	Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_unculturedBacteroides
Parabacteroides.distasonis	Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Parabacteroides_Parabacteroides.distasonis
Parabacteroides.goldsteinii	Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Parabacteroides_Parabacteroides.goldsteinii
Parabacteroides.merdae	Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Parabacteroides_Parabacteroides.merdae
uncultured.bacterium.ABLCf15	Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Parabacteroides_unculturedParabacteroides
